VALUE,COUNT,US_200EVT,PADUS_GAP_RESAMP,ECOREGION_RASTER,EVT_NAME,EVT_PHYS,ECO_NAME
9304,407,7239,4,17015,Laurentian-Acadian Northern Pine-(Oak) Forest,Conifer-Hardwood,North Central Tillplain
9305,11275,9011,4,17072,North American Arid West Emergent Marsh,Riparian,Northern Great Plains Steppe
9306,1,7396,2,17072,Great Plains Wooded Draw and Ravine Shrubland,Riparian,Northern Great Plains Steppe
9307,64277,9009,3,17072,Inter-Mountain Basins Shale Badland,Sparsely Vegetated,Northern Great Plains Steppe
9308,985,7159,1,17035,North Pacific Montane Riparian Shrubland,Riparian,Klamath Mountains
9309,2366,7115,3,17092,Inter-Mountain Basins Juniper Savanna,Conifer,Columbia Plateau
9310,8,7199,4,17020,Recently Disturbed Other-Shrub Cover,Shrubland,Prairie-Forest Border
9311,45733,7260,3,17029,Mediterranean California Lower Montane Black Oak Forest and Woodland,Hardwood,California North Coast
9312,4604,9011,3,17072,North American Arid West Emergent Marsh,Riparian,Northern Great Plains Steppe
9313,29232,7296,2,17015,Developed-Low Intensity,Developed-Low Intensity,North Central Tillplain
9314,724,9120,1,17010,Laurentian-Acadian Wet Meadow,Riparian,High Allegheny Plateau
9315,123,9620,1,17010,Laurentian-Acadian Shrub Swamp,Riparian,High Allegheny Plateau
9316,162,7240,2,17015,Laurentian-Acadian Hardwood Forest,Hardwood,North Central Tillplain
9317,314,9329,4,17072,Western North American Ruderal Wet Shrubland,Riparian,Northern Great Plains Steppe
9318,221,7193,4,17097,Recently Logged-Tree Cover,Conifer,Wyoming Basins
9319,594,7192,4,17097,Recently Logged-Shrub Cover,Shrubland,Wyoming Basins
9320,416,7909,1,17010,Eastern Cool Temperate Urban Shrubland,Developed,High Allegheny Plateau
9321,29856,7051,4,17092,Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland,Conifer,Columbia Plateau
9322,3830,9288,2,17010,Northeastern Interior Calcareous Oak Forest,Hardwood,High Allegheny Plateau
9323,69188,7012,3,17092,Rocky Mountain Bigtooth Maple Ravine Woodland,Hardwood,Columbia Plateau
9324,185395,7051,3,17048,Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland,Conifer,Utah-Wyoming Rocky Mountains
9325,11,9617,4,17010,Laurentian-Acadian Floodplain Shrubland,Riparian,High Allegheny Plateau
9326,97534,7051,3,17092,Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland,Conifer,Columbia Plateau
9327,24147,7012,4,17092,Rocky Mountain Bigtooth Maple Ravine Woodland,Hardwood,Columbia Plateau
9328,4,7125,1,17035,Inter-Mountain Basins Big Sagebrush Steppe,Shrubland,Klamath Mountains
9329,594,7124,4,17048,Columbia Plateau Low Sagebrush Steppe,Shrubland,Utah-Wyoming Rocky Mountains
9330,10006,7052,4,17092,Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland,Conifer,Columbia Plateau
9331,35,7973,4,17020,Eastern Cool Temperate Row Crop - Close Grown Crop,Agricultural,Prairie-Forest Border
9332,503,7976,2,17010,Eastern Cool Temperate Fallow/Idle Cropland,Agricultural,High Allegheny Plateau
9333,151,9191,1,17012,Northern Atlantic Coastal Plain Fresh and Oligohaline Tidal Marsh,Riparian,Lower New England / Northern Piedmont
9334,247626,7012,3,17048,Rocky Mountain Bigtooth Maple Ravine Woodland,Hardwood,Utah-Wyoming Rocky Mountains
9335,665,9176,2,17010,North-Central Appalachian Seepage Fen,Riparian,High Allegheny Plateau
9336,444,9213,4,17035,Sierra Nevada Cliff and Canyon,Sparsely Vegetated,Klamath Mountains
9337,545,7115,3,17048,Inter-Mountain Basins Juniper Savanna,Conifer,Utah-Wyoming Rocky Mountains
9338,4986,7056,4,17092,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,Conifer,Columbia Plateau
9339,12303,7297,2,17015,Developed-Medium Intensity,Developed-Medium Intensity,North Central Tillplain
9340,52541,7292,2,17015,Open Water,Open Water,North Central Tillplain
9341,3681,7298,2,17015,Developed-High Intensity,Developed-High Intensity,North Central Tillplain
9342,15,7971,4,17010,Eastern Cool Temperate Vineyard,Agricultural,High Allegheny Plateau
9343,119,9682,4,17009,North-Central Interior Graminoid Alkaline Fen,Riparian,Great Lakes
9344,74293,7052,3,17092,Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland,Conifer,Columbia Plateau
9345,63460,7908,4,17015,Eastern Cool Temperate Urban Herbaceous,Developed,North Central Tillplain
9346,32631,7556,2,17010,Central Appalachian Oak Rocky Woodland,Hardwood,High Allegheny Plateau
9347,256,7195,4,17069,Recently Burned-Herb and Grass Cover,Grassland,Dakota Mixed-Grass Prairie
9348,30904,9817,4,17015,Northern & Central Ruderal Meadow,Exotic Herbaceous,North Central Tillplain
9349,22734,7311,4,17015,North-Central Interior Dry Oak Forest and Woodland,Hardwood,North Central Tillplain
9350,2275,9177,4,17015,North-Central Interior and Appalachian Acidic Peatland Woodland,Riparian,North Central Tillplain
9351,24082,7297,4,17015,Developed-Medium Intensity,Developed-Medium Intensity,North Central Tillplain
9352,146,7954,2,17010,Eastern Cool Temperate Developed Ruderal Herbaceous Wetland,Developed,High Allegheny Plateau
9353,29839,7909,4,17015,Eastern Cool Temperate Urban Shrubland,Developed,North Central Tillplain
9354,43328,9213,3,17031,Sierra Nevada Cliff and Canyon,Sparsely Vegetated,East Cascades - Modoc Plateau
9355,1388,9317,4,17015,Northern & Central Ruderal Shrubland,Exotic Tree-Shrub,North Central Tillplain
9356,29980,7905,4,17015,Eastern Cool Temperate Urban Deciduous Forest,Developed,North Central Tillplain
9357,10398,7298,4,17015,Developed-High Intensity,Developed-High Intensity,North Central Tillplain
9358,11649,7907,4,17015,Eastern Cool Temperate Urban Mixed Forest,Developed,North Central Tillplain
9359,16447,9315,4,17015,Northern & Central Native Ruderal Forest,Conifer-Hardwood,North Central Tillplain
9360,23,7953,4,17010,Eastern Cool Temperate Developed Ruderal Shrub Wetland,Developed,High Allegheny Plateau
9361,567,9112,4,17015,Laurentian Jack Pine-Red Pine Forest,Conifer,North Central Tillplain
9362,2,7198,1,17012,Recently Disturbed Other-Herb and Grass Cover,Grassland,Lower New England / Northern Piedmont
9363,63671,7292,4,17015,Open Water,Open Water,North Central Tillplain
9364,3507,9683,4,17015,North-Central Interior Wet Meadow,Riparian,North Central Tillplain
9365,9413,9180,4,17015,North-Central Interior Freshwater Marsh,Riparian,North Central Tillplain
9366,2098,9317,2,17015,Northern & Central Ruderal Shrubland,Exotic Tree-Shrub,North Central Tillplain
9367,2765,9314,2,17015,Northern & Central Native Ruderal Flooded & Swamp Forest,Riparian,North Central Tillplain
9368,6032,9318,2,17015,Northern & Central Ruderal Wet Meadow & Marsh,Riparian,North Central Tillplain
9369,3668,7395,2,17015,North-Central Oak Barrens Woodland,Hardwood,North Central Tillplain
9370,1010,9318,4,17015,Northern & Central Ruderal Wet Meadow & Marsh,Riparian,North Central Tillplain
9371,22780,9178,4,17015,North-Central Interior and Appalachian Rich Swamp,Riparian,North Central Tillplain
9372,1847,9314,4,17015,Northern & Central Native Ruderal Flooded & Swamp Forest,Riparian,North Central Tillplain
9373,9933,9312,4,17015,Northeastern North American Temperate Forest Plantation,Conifer,North Central Tillplain
9374,1761,9183,4,17015,North-Central Interior Shrub Swamp,Riparian,North Central Tillplain
9375,47763,9178,2,17015,North-Central Interior and Appalachian Rich Swamp,Riparian,North Central Tillplain
9376,120054,7313,2,17015,North-Central Interior Beech-Maple Forest,Hardwood,North Central Tillplain
9377,1465,9117,4,17015,Laurentian-Acadian Floodplain Forest,Riparian,North Central Tillplain
9378,17018,9312,2,17015,Northeastern North American Temperate Forest Plantation,Conifer,North Central Tillplain
9379,176,7094,3,17069,Western Great Plains Sandhill Steppe,Shrubland,Dakota Mixed-Grass Prairie
9380,7999,7906,4,17015,Eastern Cool Temperate Urban Evergreen Forest,Developed,North Central Tillplain
9381,3280,9177,2,17015,North-Central Interior and Appalachian Acidic Peatland Woodland,Riparian,North Central Tillplain
9382,46262,7051,4,17048,Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland,Conifer,Utah-Wyoming Rocky Mountains
9383,210,7394,4,17009,North-Central Interior Oak Savanna,Hardwood,Great Lakes
9384,3,7354,3,17014,Northeastern Interior Pine Barrens,Conifer,North Atlantic Coast
9385,152,7062,4,17035,Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland,Conifer,Klamath Mountains
9386,4219,7906,2,17015,Eastern Cool Temperate Urban Evergreen Forest,Developed,North Central Tillplain
9387,12049,7907,2,17015,Eastern Cool Temperate Urban Mixed Forest,Developed,North Central Tillplain
9388,17780,7905,2,17015,Eastern Cool Temperate Urban Deciduous Forest,Developed,North Central Tillplain
9389,6073,9183,2,17015,North-Central Interior Shrub Swamp,Riparian,North Central Tillplain
9390,577,9117,2,17015,Laurentian-Acadian Floodplain Forest,Riparian,North Central Tillplain
9391,45693,9179,2,17015,North-Central Interior Floodplain Forest,Riparian,North Central Tillplain
9392,9092,9683,2,17015,North-Central Interior Wet Meadow,Riparian,North Central Tillplain
9393,14003,9180,2,17015,North-Central Interior Freshwater Marsh,Riparian,North Central Tillplain
9394,5078,7954,2,17015,Eastern Cool Temperate Developed Ruderal Herbaceous Wetland,Developed,North Central Tillplain
9395,76684,7146,3,17048,Southern Rocky Mountain Montane-Subalpine Grassland,Grassland,Utah-Wyoming Rocky Mountains
9396,121573,7012,4,17048,Rocky Mountain Bigtooth Maple Ravine Woodland,Hardwood,Utah-Wyoming Rocky Mountains
9397,1135,7933,2,17015,Eastern Cool Temperate Developed Ruderal Shrubland,Developed,North Central Tillplain
9398,63,7922,1,17073,Western Cool Temperate Developed Ruderal Mixed Forest,Developed,Northern Tallgrass Prairie
9399,1,7901,1,17073,Western Cool Temperate Urban Evergreen Forest,Developed,Northern Tallgrass Prairie
9400,463,9314,3,17010,Northern & Central Native Ruderal Flooded & Swamp Forest,Riparian,High Allegheny Plateau
9401,252,9318,4,17010,Northern & Central Ruderal Wet Meadow & Marsh,Riparian,High Allegheny Plateau
9402,240,7394,2,17009,North-Central Interior Oak Savanna,Hardwood,Great Lakes
9403,127479,7052,3,17048,Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland,Conifer,Utah-Wyoming Rocky Mountains
9404,575,7412,4,17009,North-Central Interior Sand and Gravel Tallgrass Prairie,Grassland,Great Lakes
9405,4,7944,2,17020,Western Cool Temperate Developed Ruderal Herbaceous Wetland,Developed,Prairie-Forest Border
9406,4,7924,2,17020,Western Cool Temperate Developed Ruderal Grassland,Developed,Prairie-Forest Border
9407,150,9029,4,17069,Western Great Plains Saline Depression Wetland,Riparian,Dakota Mixed-Grass Prairie
9408,10632,7148,3,17069,Western Great Plains Sand Prairie,Grassland,Dakota Mixed-Grass Prairie
9409,100,9182,4,17009,North-Central Interior Shrub Alkaline Fen,Riparian,Great Lakes
9410,11763,9213,2,17031,Sierra Nevada Cliff and Canyon,Sparsely Vegetated,East Cascades - Modoc Plateau
9411,2,7902,2,17020,Western Cool Temperate Urban Mixed Forest,Developed,Prairie-Forest Border
9412,2,7901,2,17020,Western Cool Temperate Urban Evergreen Forest,Developed,Prairie-Forest Border
9413,6,9116,2,17009,Laurentian-Acadian Calcareous Rocky Outcrop Woodland,Conifer-Hardwood,Great Lakes
9414,595,7115,4,17092,Inter-Mountain Basins Juniper Savanna,Conifer,Columbia Plateau
9415,24,9160,4,17035,North Pacific Active Volcanic Rock and Cinder Land,Sparsely Vegetated,Klamath Mountains
9416,2040,9014,4,17069,Northwestern Great Plains Floodplain Forest and Woodland,Riparian,Dakota Mixed-Grass Prairie
9417,593,9272,4,17029,Temperate Pacific Subalpine-Montane Wet Meadow,Riparian,California North Coast
9418,10194,7196,2,17029,Recently Burned-Shrub Cover,Shrubland,California North Coast
9419,134,7094,2,17069,Western Great Plains Sandhill Steppe,Shrubland,Dakota Mixed-Grass Prairie
9420,9223,7976,3,17015,Eastern Cool Temperate Fallow/Idle Cropland,Agricultural,North Central Tillplain
9421,148521,7974,3,17015,Eastern Cool Temperate Row Crop,Agricultural,North Central Tillplain
9422,105185,9817,3,17015,Northern & Central Ruderal Meadow,Exotic Herbaceous,North Central Tillplain
9423,59600,9315,3,17015,Northern & Central Native Ruderal Forest,Conifer-Hardwood,North Central Tillplain
9424,6011,9317,3,17015,Northern & Central Ruderal Shrubland,Exotic Tree-Shrub,North Central Tillplain
9425,26713,7146,4,17048,Southern Rocky Mountain Montane-Subalpine Grassland,Grassland,Utah-Wyoming Rocky Mountains
9426,46,7978,2,17010,Eastern Cool Temperate Wheat,Agricultural,High Allegheny Plateau
9427,5239,9314,3,17015,Northern & Central Native Ruderal Flooded & Swamp Forest,Riparian,North Central Tillplain
9428,33362,9004,2,17097,Inter-Mountain Basins Active and Stabilized Dune,Sparsely Vegetated,Wyoming Basins
9429,13778,7301,3,17015,Laurentian-Acadian Sub-boreal Aspen-Birch Forest,Hardwood,North Central Tillplain
9430,25585,7905,3,17015,Eastern Cool Temperate Urban Deciduous Forest,Developed,North Central Tillplain
9431,71740,7299,3,17015,Developed-Roads,Developed-Roads,North Central Tillplain
9432,18943,7908,3,17015,Eastern Cool Temperate Urban Herbaceous,Developed,North Central Tillplain
9433,1994,7196,3,17014,Recently Burned-Shrub Cover,Shrubland,North Atlantic Coast
9434,1718,9337,2,17029,California Ruderal Scrub,Exotic Tree-Shrub,California North Coast
9435,314,7070,2,17097,Rocky Mountain Alpine Dwarf-Shrubland,Shrubland,Wyoming Basins
9436,1,9016,2,17097,Rocky Mountain Alpine Bedrock and Scree,Sparsely Vegetated,Wyoming Basins
9437,63,9513,4,17069,Northwestern Great Plains Floodplain Shrubland,Riparian,Dakota Mixed-Grass Prairie
9438,50,7978,4,17010,Eastern Cool Temperate Wheat,Agricultural,High Allegheny Plateau
9439,1,7169,2,17097,Northern Rocky Mountain Subalpine Deciduous Shrubland,Shrubland,Wyoming Basins
9440,905,7933,4,17015,Eastern Cool Temperate Developed Ruderal Shrubland,Developed,North Central Tillplain
9441,113817,7313,4,17015,North-Central Interior Beech-Maple Forest,Hardwood,North Central Tillplain
9442,61175,7310,4,17015,North-Central Interior Dry-Mesic Oak Forest and Woodland,Hardwood,North Central Tillplain
9443,863,7150,2,17069,Western Great Plains Tallgrass Prairie,Grassland,Dakota Mixed-Grass Prairie
9444,638,7070,3,17097,Rocky Mountain Alpine Dwarf-Shrubland,Shrubland,Wyoming Basins
9445,35,7366,4,17015,Laurentian-Acadian Pine-Hemlock Forest,Conifer,North Central Tillplain
9446,368,7970,4,17015,Eastern Cool Temperate Orchard,Agricultural,North Central Tillplain
9447,1,7979,4,17009,Eastern Cool Temperate Aquaculture,Agricultural,Great Lakes
9448,2,9116,1,17009,Laurentian-Acadian Calcareous Rocky Outcrop Woodland,Conifer-Hardwood,Great Lakes
9449,2302,7238,4,17015,Laurentian-Acadian Northern Oak Forest,Hardwood,North Central Tillplain
9450,102,7241,4,17015,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Conifer-Hardwood,North Central Tillplain
9451,26654,9179,4,17015,North-Central Interior Floodplain Forest,Riparian,North Central Tillplain
9452,2892,7046,1,17097,Northern Rocky Mountain Subalpine Woodland and Parkland,Conifer,Wyoming Basins
9453,1941,7395,4,17015,North-Central Oak Barrens Woodland,Hardwood,North Central Tillplain
9454,5225,7070,1,17097,Rocky Mountain Alpine Dwarf-Shrubland,Shrubland,Wyoming Basins
9455,44,9056,4,17015,Boreal-Laurentian Conifer Acidic Swamp and Treed Poor Fen,Riparian,North Central Tillplain
9456,11,7171,2,17092,North Pacific Alpine and Subalpine Dry Grassland,Grassland,Columbia Plateau
9457,12,9617,4,17015,Laurentian-Acadian Floodplain Shrubland,Riparian,North Central Tillplain
9458,42,7143,1,17097,Rocky Mountain Alpine Fell-Field,Grassland,Wyoming Basins
9459,14,7057,4,17092,Rocky Mountain Subalpine-Montane Limber-Bristlecone Pine Woodland,Conifer,Columbia Plateau
9460,14231,7421,3,17009,Central Tallgrass Prairie,Grassland,Great Lakes
9461,907,7974,1,17010,Eastern Cool Temperate Row Crop,Agricultural,High Allegheny Plateau
9462,143,7933,1,17010,Eastern Cool Temperate Developed Ruderal Shrubland,Developed,High Allegheny Plateau
9463,7,7167,1,17097,Rocky Mountain Poor-Site Lodgepole Pine Forest,Conifer,Wyoming Basins
9464,26078,7200,3,17010,Recently Disturbed Other-Tree Cover,Conifer,High Allegheny Plateau
9465,16518,7173,2,17035,North Pacific Wooded Volcanic Flowage,Conifer,Klamath Mountains
9466,33,7056,1,17097,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,Conifer,Wyoming Basins
9467,37791,9213,1,17035,Sierra Nevada Cliff and Canyon,Sparsely Vegetated,Klamath Mountains
9468,3,9101,4,17014,Great Lakes Dune,Sparsely Vegetated,North Atlantic Coast
9469,4727,7126,1,17035,Inter-Mountain Basins Montane Sagebrush Steppe,Shrubland,Klamath Mountains
9470,21535,7173,1,17035,North Pacific Wooded Volcanic Flowage,Conifer,Klamath Mountains
9471,330,7062,1,17035,Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland,Conifer,Klamath Mountains
9472,781,7198,3,17010,Recently Disturbed Other-Herb and Grass Cover,Grassland,High Allegheny Plateau
9473,19,7942,1,17092,Western Cool Temperate Developed Ruderal Mixed Forested Wetland,Developed,Columbia Plateau
9474,305,7193,4,17029,Recently Logged-Tree Cover,Conifer,California North Coast
9475,945,7144,1,17097,Rocky Mountain Alpine Turf,Grassland,Wyoming Basins
9476,45,7199,4,17029,Recently Disturbed Other-Shrub Cover,Shrubland,California North Coast
9477,1842,9016,1,17097,Rocky Mountain Alpine Bedrock and Scree,Sparsely Vegetated,Wyoming Basins
9478,13294,7172,1,17035,Sierran-Intermontane Desert Western White Pine-White Fir Woodland,Conifer,Klamath Mountains
9479,37206,7374,2,17010,Acadian-Appalachian Montane Spruce-Fir Forest,Conifer-Hardwood,High Allegheny Plateau
9480,219,7192,4,17029,Recently Logged-Shrub Cover,Shrubland,California North Coast
9481,59,7953,2,17010,Eastern Cool Temperate Developed Ruderal Shrub Wetland,Developed,High Allegheny Plateau
9482,2243,7518,4,17009,North-Central Interior Wet Flatwoods,Riparian,Great Lakes
9483,1276,7295,2,17097,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,Wyoming Basins
9484,6,7973,2,17020,Eastern Cool Temperate Row Crop - Close Grown Crop,Agricultural,Prairie-Forest Border
9485,325,7011,1,17035,Rocky Mountain Aspen Forest and Woodland,Hardwood,Klamath Mountains
9486,1794,7058,2,17035,Sierra Nevada Subalpine Lodgepole Pine Forest and Woodland,Conifer,Klamath Mountains
9487,23241,7058,1,17035,Sierra Nevada Subalpine Lodgepole Pine Forest and Woodland,Conifer,Klamath Mountains
9488,5,7200,4,17029,Recently Disturbed Other-Tree Cover,Conifer,California North Coast
9489,456,7012,2,17092,Rocky Mountain Bigtooth Maple Ravine Woodland,Hardwood,Columbia Plateau
9490,13137,7051,2,17092,Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland,Conifer,Columbia Plateau
9491,98,7011,4,17035,Rocky Mountain Aspen Forest and Woodland,Hardwood,Klamath Mountains
9492,44,7066,3,17028,Inter-Mountain Basins Mat Saltbush Shrubland,Shrubland,Black Hills
9493,1461,9008,4,17072,Inter-Mountain Basins Playa,Sparsely Vegetated,Northern Great Plains Steppe
9494,30,7200,4,17069,Recently Disturbed Other-Tree Cover,Conifer,Dakota Mixed-Grass Prairie
9495,50,9329,3,17072,Western North American Ruderal Wet Shrubland,Riparian,Northern Great Plains Steppe
9496,17,9029,3,17069,Western Great Plains Saline Depression Wetland,Riparian,Dakota Mixed-Grass Prairie
9497,11,7198,3,17069,Recently Disturbed Other-Herb and Grass Cover,Grassland,Dakota Mixed-Grass Prairie
9498,1,7200,3,17069,Recently Disturbed Other-Tree Cover,Conifer,Dakota Mixed-Grass Prairie
9499,106,7389,2,17010,Acadian-Appalachian Subalpine Woodland,Conifer,High Allegheny Plateau
9500,1917,7136,1,17035,Mediterranean California Alpine Dry Tundra,Grassland,Klamath Mountains
9501,69,9186,2,17010,Northern Appalachian-Acadian Rocky Heath Outcrop Woodland,Conifer,High Allegheny Plateau
9502,27377,7735,1,17035,North American Glacier and Ice Field,Snow-Ice,Klamath Mountains
9503,29,7374,4,17010,Acadian-Appalachian Montane Spruce-Fir Forest,Conifer-Hardwood,High Allegheny Plateau
9504,9,7298,3,17028,Developed-High Intensity,Developed-High Intensity,Black Hills
9505,244,7953,4,17015,Eastern Cool Temperate Developed Ruderal Shrub Wetland,Developed,North Central Tillplain
9506,27288,7930,4,17015,Eastern Cool Temperate Developed Ruderal Deciduous Forest,Developed,North Central Tillplain
9507,983,7931,4,17015,Eastern Cool Temperate Developed Ruderal Evergreen Forest,Developed,North Central Tillplain
9508,1304,9008,3,17072,Inter-Mountain Basins Playa,Sparsely Vegetated,Northern Great Plains Steppe
9509,700,7200,1,17035,Recently Disturbed Other-Tree Cover,Conifer,Klamath Mountains
9510,14937,7260,2,17029,Mediterranean California Lower Montane Black Oak Forest and Woodland,Hardwood,California North Coast
9511,6068,7137,2,17029,Mediterranean California Subalpine Meadow,Grassland,California North Coast
9512,1,9686,3,17010,Northern Appalachian-Acadian Rocky Heath Outcrop Shrubland,Shrubland,High Allegheny Plateau
9513,116,7966,3,17029,Western Cool Temperate Fallow/Idle Cropland,Agricultural,California North Coast
9514,29,9186,3,17010,Northern Appalachian-Acadian Rocky Heath Outcrop Woodland,Conifer,High Allegheny Plateau
9515,3282,9272,3,17029,Temperate Pacific Subalpine-Montane Wet Meadow,Riparian,California North Coast
9516,17172,7930,2,17015,Eastern Cool Temperate Developed Ruderal Deciduous Forest,Developed,North Central Tillplain
9517,1428,7931,2,17015,Eastern Cool Temperate Developed Ruderal Evergreen Forest,Developed,North Central Tillplain
9518,42,9056,2,17015,Boreal-Laurentian Conifer Acidic Swamp and Treed Poor Fen,Riparian,North Central Tillplain
9519,38,7198,2,17029,Recently Disturbed Other-Herb and Grass Cover,Grassland,California North Coast
9520,290440,7292,3,17015,Open Water,Open Water,North Central Tillplain
9521,18448,7930,3,17015,Eastern Cool Temperate Developed Ruderal Deciduous Forest,Developed,North Central Tillplain
9522,94824,9178,3,17015,North-Central Interior and Appalachian Rich Swamp,Riparian,North Central Tillplain
9523,288042,7310,3,17015,North-Central Interior Dry-Mesic Oak Forest and Woodland,Hardwood,North Central Tillplain
9524,116968,9179,3,17015,North-Central Interior Floodplain Forest,Riparian,North Central Tillplain
9525,340917,7313,3,17015,North-Central Interior Beech-Maple Forest,Hardwood,North Central Tillplain
9526,2031,7421,3,17073,Central Tallgrass Prairie,Grassland,Northern Tallgrass Prairie
9527,138,7735,2,17035,North American Glacier and Ice Field,Snow-Ice,Klamath Mountains
9528,13,7136,2,17035,Mediterranean California Alpine Dry Tundra,Grassland,Klamath Mountains
9529,20,7389,3,17010,Acadian-Appalachian Subalpine Woodland,Conifer,High Allegheny Plateau
9530,12565,7061,4,17097,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland,Conifer-Hardwood,Wyoming Basins
9531,16502,7061,3,17097,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland,Conifer-Hardwood,Wyoming Basins
9532,56,7297,1,17010,Developed-Medium Intensity,Developed-Medium Intensity,High Allegheny Plateau
9533,16307,7098,2,17029,California Montane Woodland and Chaparral,Shrubland,California North Coast
9534,3609,7196,3,17010,Recently Burned-Shrub Cover,Shrubland,High Allegheny Plateau
9535,5274,7195,3,17010,Recently Burned-Herb and Grass Cover,Grassland,High Allegheny Plateau
9536,1,7136,3,17035,Mediterranean California Alpine Dry Tundra,Grassland,Klamath Mountains
9537,65,7193,1,17035,Recently Logged-Tree Cover,Conifer,Klamath Mountains
9538,1,7972,2,17010,Eastern Cool Temperate Bush fruit and berries,Agricultural,High Allegheny Plateau
9539,43864,7374,1,17010,Acadian-Appalachian Montane Spruce-Fir Forest,Conifer-Hardwood,High Allegheny Plateau
9540,11,7971,2,17012,Eastern Cool Temperate Vineyard,Agricultural,Lower New England / Northern Piedmont
9541,61,9189,3,17012,Northern Atlantic Coastal Plain Brackish Tidal Marsh,Riparian,Lower New England / Northern Piedmont
9542,173,9192,3,17009,Northern Atlantic Coastal Plain Pond,Riparian,Great Lakes
9543,19,7030,3,17031,Mediterranean California Lower Montane Conifer Forest and Woodland,Conifer,East Cascades - Modoc Plateau
9544,1,7126,3,17028,Inter-Mountain Basins Montane Sagebrush Steppe,Shrubland,Black Hills
9545,2890,7377,1,17010,Central Appalachian Pine Rocky Woodland,Conifer,High Allegheny Plateau
9546,10,7193,4,17010,Recently Logged-Tree Cover,Conifer,High Allegheny Plateau
9547,1,7953,1,17010,Eastern Cool Temperate Developed Ruderal Shrub Wetland,Developed,High Allegheny Plateau
9548,8576,7557,1,17010,Central Appalachian Pine-Oak Rocky Woodland,Conifer-Hardwood,High Allegheny Plateau
9549,149,7952,1,17010,Eastern Cool Temperate Developed Ruderal Mixed Forested Wetland,Developed,High Allegheny Plateau
9550,809,7930,1,17010,Eastern Cool Temperate Developed Ruderal Deciduous Forest,Developed,High Allegheny Plateau
9551,74,7971,3,17010,Eastern Cool Temperate Vineyard,Agricultural,High Allegheny Plateau
9552,198,9560,4,17010,Central Appalachian Stream and Riparian Shrubland,Riparian,High Allegheny Plateau
9553,92,9176,4,17010,North-Central Appalachian Seepage Fen,Riparian,High Allegheny Plateau
9554,134,7389,1,17010,Acadian-Appalachian Subalpine Woodland,Conifer,High Allegheny Plateau
9555,755,7295,1,17092,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,Columbia Plateau
9556,343,7079,4,17048,Great Basin Xeric Mixed Sagebrush Shrubland,Shrubland,Utah-Wyoming Rocky Mountains
9557,95813,7310,2,17015,North-Central Interior Dry-Mesic Oak Forest and Woodland,Hardwood,North Central Tillplain
9558,17,7289,1,17010,Acadian-Appalachian Subalpine Heath-Krummholz,Shrubland,High Allegheny Plateau
9559,421944,7149,3,17072,Western Great Plains Shortgrass Prairie,Grassland,Northern Great Plains Steppe
9560,69533,7311,2,17015,North-Central Interior Dry Oak Forest and Woodland,Hardwood,North Central Tillplain
9561,25446,7052,4,17048,Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland,Conifer,Utah-Wyoming Rocky Mountains
9562,1730,7421,2,17073,Central Tallgrass Prairie,Grassland,Northern Tallgrass Prairie
9563,7378,7149,2,17072,Western Great Plains Shortgrass Prairie,Grassland,Northern Great Plains Steppe
9564,246,9560,1,17010,Central Appalachian Stream and Riparian Shrubland,Riparian,High Allegheny Plateau
9565,264,9314,1,17010,Northern & Central Native Ruderal Flooded & Swamp Forest,Riparian,High Allegheny Plateau
9566,364,7964,4,17029,Western Cool Temperate Row Crop,Agricultural,California North Coast
9567,589,9318,1,17010,Northern & Central Ruderal Wet Meadow & Marsh,Riparian,High Allegheny Plateau
9568,1,7971,1,17010,Eastern Cool Temperate Vineyard,Agricultural,High Allegheny Plateau
9569,13212,7556,1,17010,Central Appalachian Oak Rocky Woodland,Hardwood,High Allegheny Plateau
9570,17,7900,1,17028,Western Cool Temperate Urban Deciduous Forest,Developed,Black Hills
9571,4,7901,1,17028,Western Cool Temperate Urban Evergreen Forest,Developed,Black Hills
9572,30,9017,1,17028,Rocky Mountain Alpine-Montane Wet Meadow,Riparian,Black Hills
9573,1,7193,1,17028,Recently Logged-Tree Cover,Conifer,Black Hills
